handle,title,status,disposition,orders,qty,revenue,last_sold
aktivity-environ-table,Aktivity Environ table,active,ARCHIVE,0,0,0.00,
aktivity-puddle,Aktivity Puddle,active,ARCHIVE,0,0,0.00,
aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,active,ARCHIVE,0,0,0.00,
auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,active,ARCHIVE,0,0,0.00,
auditorium-lecture-hall-seating-my-space,Auditorium / Lecture Hall Seating My Space,active,ARCHIVE,0,0,0.00,
auditorium-lecture-hall-seating-omni,Auditorium / Lecture Hall Seating Omni,active,ARCHIVE,0,0,0.00,
auditorium-lecture-hall-seating-primo,Auditorium / Lecture Hall Seating Primo,active,ARCHIVE,0,0,0.00,
duet-tablet-chair,Duet Tablet Chair,active,ARCHIVE,0,0,0.00,
educational-student-tables-5-shapes-sizes,Educational Student Tables (5 Shapes & Sizes),active,ARCHIVE,0,0,0.00,
foundations-next-gen-serenity-compact-crib,Foundations Next Gen Serenity Compact Crib,active,ARCHIVE,0,0,0.00,
foundations-next-gen-serenity-safereach-compact-crib,Foundations Next Gen Serenity SafeReach Compact Crib,active,ARCHIVE,0,0,0.00,
foundations-safetycraft-compact-crib-natural-steel,Foundations SafetyCraft Compact Crib - Natural - Steel,active,ARCHIVE,0,0,0.00,
foundations-sport-splash-3-seat-strollers,Foundations Sport Splash 3-Seat Strollers,active,ARCHIVE,0,0,0.00,
foundations-sport-splash-quad-strollers,"Foundations Sport Splash, Quad Strollers",active,UNPUBLISH,1,1,797.99,2025-05-01
gc-comet-bariatric-stacking-armchair-gc2180-1,GC Comet™ Bariatric Stacking Armchair (GC2180),active,ARCHIVE,0,0,0.00,
global-recliner-primacare-gc3608mrc,Global Recliner Primacare GC3608MRC,active,ARCHIVE,0,0,0.00,
nesting-training-table-8-colour-choices,Nesting Training Table (8 Colour Choices),active,ARCHIVE,0,0,0.00,
nourish-high-back-bariatric-patient-chair-gc3685-1,Nourish™ High Back Bariatric Patient Chair (GC3685),active,ARCHIVE,0,0,0.00,
primacare-ht-patient-mid-back-bariatric-open-arms-gc3638-1,"Primacare™ HT Patient Mid Back Bariatric, Open Arms (GC3638)",active,ARCHIVE,0,0,0.00,
recliners-by-ryno,Recliners by Ryno,active,ARCHIVE,0,0,0.00,
sidero-tablet-arm,Sidero Tablet Arm,active,ARCHIVE,0,0,0.00,
sidero-tablet-chair,Sidero Tablet Chair,active,ARCHIVE,0,0,0.00,
student-chairs-3-sizes,Student Chairs (3 sizes),active,ARCHIVE,0,0,0.00,
student-desk,Student Desk,active,ARCHIVE,0,0,0.00,
student-desk-1,Student Desk,active,ARCHIVE,0,0,0.00,
student-desk-carol-single-double-sided,Student Desk Carol Single & Double Sided,active,ARCHIVE,0,0,0.00,
the-foster-recliner,The Foster Recliner,active,ARCHIVE,0,0,0.00,
uni-flip-training-tables-7-sizes,Flip Top Training Tables 7 Sizes,active,ARCHIVE,0,0,0.00,
willow-bariatric-chair,Willow Bariatric Chair,active,UNPUBLISH,1,4,2100.00,2026-04-07
