hub_handle,block_id,brand_plate_name,brand_plate_link,brand_plate_canadian
accessories,brand-plate-1,Brant Business Interiors,/collections/brant-business-interiors,True
accessories,brand-plate-2,Humanscale,/collections/humanscale,False
boardroom,brand-plate-1,Brant Business Interiors,/collections/brant-business-interiors,True
boardroom,brand-plate-2,Teknion,/collections/teknion,True
boardroom,brand-plate-3,Safco,/collections/safco,False
boardroom,brand-plate-4,Offices to Go,/collections/offices-to-go,True
boardroom,brand-plate-5,Global Furniture Group,/collections/global-furniture-group,True
desks,brand-plate-1,Brant Business Interiors,/collections/brant-business-interiors,True
desks,brand-plate-2,Offices to Go,/collections/offices-to-go,True
desks,brand-plate-3,Global Furniture Group,/collections/global-furniture-group,True
desks,brand-plate-4,Safco,/collections/safco,False
seating,brand-plate-1,Brant Business Interiors,/collections/brant-business-interiors,True
seating,brand-plate-2,Global Furniture Group,/collections/global-furniture-group,True
seating,brand-plate-3,ObusForme,/collections/obusforme,True
seating,brand-plate-4,Offices to Go,/collections/offices-to-go,True
seating,brand-plate-5,Teknion,/collections/teknion,True
storage,brand-plate-1,Brant Business Interiors,/collections/brant-business-interiors,True
storage,brand-plate-2,Offices to Go,/collections/offices-to-go,True
storage,brand-plate-3,Heartwood Manufacturing,/collections/heartwood-manufacturing,True
tables,brand-plate-1,Brant Business Interiors,/collections/brant-business-interiors,True
tables,brand-plate-2,Teknion,/collections/teknion,True
tables,brand-plate-3,Safco,/collections/safco,False
tables,brand-plate-4,Offices to Go,/collections/offices-to-go,True
tables,brand-plate-5,Global Furniture Group,/collections/global-furniture-group,True
