Handle,Title,Category,SourceURL,Body_HTML,SEO_Title,SEO_Description,Type,Color,Material,Style,Suitable_Location,Furniture_Fixture_Material,Upholstery_Material,Seat_Type,Back_Type,Backrest_Type,Wood_Finish,Tabletop_Color,Leg_Color,Notes
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
l-shape-desk-hutch,L-Shape Desk & Hutch,desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,table,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
training-flip-top-tables-1,Training Flip Top Tables,table,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
u-shape-height-adjust-desk,U-Shape Height Adjust Desk,desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",storage,,,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,N/A,
obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,chair,,,,,,,,,,,,,,,N/A,N/A,,
roma-1900-nesting-chair,Roma 1900 Nesting Chair,chair,,,,,,,,,,,,,,,N/A,N/A,,
overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,chair,,,,,,,,,,,,,,,N/A,N/A,,
l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
loop-leg-table,LOOP Leg Table,table,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
premium-height-adjustable-table-1,Premium Height Adjustable Table,table,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,chair,,,,,,,,,,,,,,,N/A,N/A,,
mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,chair,,,,,,,,,,,,,,,N/A,N/A,,
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,chair,,,,,,,,,,,,,,,N/A,N/A,,
executive-u-shape-desk-set,Executive U-Shape Desk Set,desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
sidero-guest-chair-28-colour-options,Sidero Guest Chair 28 Colour Options,chair,,,,,,,,,,,,,,,N/A,N/A,,
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,table,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,chair,,,,,,,,,,,,,,,N/A,N/A,,
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,desk,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,
ibex-mesh-seat-back-multi-tilter-1,Ibex | Mesh Seat & Back Multi-Tilter,chair,,,,,,,,,,,,,,,N/A,N/A,,
